customer_id,total_revenue,total_transactions,total_quantity,avg_transaction_value,customer_segment,frequency_group
7drem95q,42.3,1,3,42.3,High Value,One-time (1)
7cu0gm0g,42.3,1,3,42.3,High Value,One-time (1)
xq531d1k,42.3,4,10,10.575,High Value,Frequent (4-7)
cq99chj7,42.3,1,3,42.3,High Value,One-time (1)
k7yt624x,42.03,1,9,42.03,High Value,One-time (1)
t9fk0vwx,41.76,1,8,41.76,High Value,One-time (1)
imev9wem,41.4,1,3,41.4,High Value,One-time (1)
zj38zmm4,41.4,1,3,41.4,High Value,One-time (1)
s1qiq2el,41.4,1,3,41.4,High Value,One-time (1)
ns0gnh8s,41.28,3,14,13.76,High Value,Occasional (2-3)
pq6oqkiw,40.86,1,6,40.86,High Value,One-time (1)
dyms1mwn,40.8,2,8,20.4,High Value,Occasional (2-3)
qyhmdhrt,40.74,1,7,40.74,High Value,One-time (1)
yj38xrg2,40.739999999999995,5,8,8.148,High Value,Frequent (4-7)
crzxc4vn,40.72,2,12,20.36,High Value,Occasional (2-3)
m3pp00cd,40.28,2,8,20.14,High Value,Occasional (2-3)
lnpsf9ta,40.18,1,9,40.18,High Value,One-time (1)
1lm7qmxr,40.18,1,7,40.18,High Value,One-time (1)
iqmb0u9y,40.17,1,3,40.17,High Value,One-time (1)
r00vi3ia,40.17,1,3,40.17,High Value,One-time (1)
blu27xnp,40.019999999999996,2,7,20.009999999999998,High Value,Occasional (2-3)
vk8sqgrk,39.6,1,6,39.6,High Value,One-time (1)
amhxq5kn,39.36,1,4,39.36,High Value,One-time (1)
yrw3ueei,39.36,1,4,39.36,High Value,One-time (1)
zsxh6ozd,39.33,1,9,39.33,High Value,One-time (1)
fsx3njzh,39.0,1,6,39.0,High Value,One-time (1)
pk0zfknw,38.96,2,10,19.48,High Value,Occasional (2-3)
uk19x0pt,38.88,1,3,38.88,High Value,One-time (1)
3ab28ghe,38.88,1,3,38.88,High Value,One-time (1)
ggwymsl8,38.88,1,3,38.88,High Value,One-time (1)
fgvzmual,38.88,1,3,38.88,High Value,One-time (1)
3vj0pojk,38.88,1,3,38.88,High Value,One-time (1)
d6isxrio,38.7,1,7,38.7,High Value,One-time (1)
ztfwgv3j,38.43,1,9,38.43,High Value,One-time (1)
87aeaf7l,38.4,1,6,38.4,High Value,One-time (1)
v41echj9,38.25,1,3,38.25,High Value,One-time (1)
e4dlhju5,38.25,1,3,38.25,High Value,One-time (1)
rynsx09j,37.8,1,6,37.8,High Value,One-time (1)
sxzn5jdy,37.8,1,6,37.8,High Value,One-time (1)
k5j42oi6,37.72,4,13,9.43,High Value,Frequent (4-7)
mrmsnt0k,37.71,1,3,37.71,High Value,One-time (1)
5e4bdlb3,37.5,1,2,37.5,High Value,One-time (1)
0edoijh9,37.5,1,5,37.5,High Value,One-time (1)
bvh4fut5,37.5,1,2,37.5,High Value,One-time (1)
1v09ikkt,37.31,1,7,37.31,High Value,One-time (1)
7lchjt9b,37.11,1,3,37.11,High Value,One-time (1)
1zvq558j,36.84,1,6,36.84,High Value,One-time (1)
5btvl1f4,36.75,1,5,36.75,High Value,One-time (1)
r45g1rec,36.72,1,4,36.72,High Value,One-time (1)
z7gn668j,36.72,1,4,36.72,High Value,One-time (1)
wewnd9yw,36.68,1,7,36.68,High Value,One-time (1)
wcjbqn5r,36.66,1,6,36.66,High Value,One-time (1)
ueihx74d,36.56,3,12,12.186666666666667,High Value,Occasional (2-3)
sgkxzp1n,36.48,1,8,36.48,High Value,One-time (1)
inu6g896,36.4,1,6,36.4,High Value,One-time (1)
xvm25v1d,36.34,1,3,36.34,High Value,One-time (1)
x7n89lta,36.32,3,4,12.106666666666667,High Value,Occasional (2-3)
5j8kihhu,36.3,1,6,36.3,High Value,One-time (1)
8r7sn1tc,36.230000000000004,2,8,18.115000000000002,High Value,Occasional (2-3)
tat7cmty,35.91,1,9,35.91,High Value,One-time (1)
0i9bl14h,35.67,2,7,17.835,High Value,Occasional (2-3)
oxx1rjbo,35.64,1,6,35.64,High Value,One-time (1)
uvvsbk58,35.62,1,2,35.62,High Value,One-time (1)
vuuodwvk,35.6,1,5,35.6,High Value,One-time (1)
bc2swsoz,35.52,2,12,17.76,High Value,Occasional (2-3)
o7mnae6m,35.49,1,7,35.49,High Value,One-time (1)
48zkgacb,35.4,1,9,35.4,High Value,One-time (1)
17lntlfb,35.28,1,3,35.28,High Value,One-time (1)
gctc80vj,35.28,1,6,35.28,High Value,One-time (1)
8x18gdw1,35.28,1,6,35.28,High Value,One-time (1)
yiiwnvp4,35.22,1,6,35.22,High Value,One-time (1)
hapm93vu,35.1,1,5,35.1,High Value,One-time (1)
o7so3hkj,35.1,1,5,35.1,High Value,One-time (1)
y8sj4wsu,34.92,1,3,34.92,High Value,One-time (1)
7nidp9mg,34.86,4,9,8.715,High Value,Frequent (4-7)
svt8udx8,34.65,1,9,34.65,High Value,One-time (1)
9nfe7yu2,34.65,1,9,34.65,High Value,One-time (1)
19j0onea,34.56,1,6,34.56,High Value,One-time (1)
cb8rs0kj,34.56,1,8,34.56,High Value,One-time (1)
kl1flxcu,34.56,1,3,34.56,High Value,One-time (1)
6ufqdsd3,34.5,1,2,34.5,High Value,One-time (1)
5g589heb,34.32,1,6,34.32,High Value,One-time (1)
fxl6kpl0,34.23,1,3,34.23,High Value,One-time (1)
sz9acqyr,34.11,1,9,34.11,High Value,One-time (1)
jptnkupb,33.93,1,9,33.93,High Value,One-time (1)
gjtttqvo,33.84,1,3,33.84,High Value,One-time (1)
bn2eziyb,33.84,1,3,33.84,High Value,One-time (1)
5b1g2uxb,33.84,1,3,33.84,High Value,One-time (1)
zacbgp6j,33.84,1,8,33.84,High Value,One-time (1)
ttnh7jl5,33.84,1,3,33.84,High Value,One-time (1)
xuqhissw,33.84,1,6,33.84,High Value,One-time (1)
mgsz7ee3,33.78,1,6,33.78,High Value,One-time (1)
ph3oasy8,33.7,1,7,33.7,High Value,One-time (1)
16cer90c,33.67,1,7,33.67,High Value,One-time (1)
1cy0lwz6,33.6,1,5,33.6,High Value,One-time (1)
wiimchrl,33.53,1,7,33.53,High Value,One-time (1)
whwkmy9x,33.3,1,6,33.3,High Value,One-time (1)
65bnvc4g,33.3,1,6,33.3,High Value,One-time (1)
ptxcodbk,33.21,1,3,33.21,High Value,One-time (1)
xtdervcg,33.18,1,6,33.18,High Value,One-time (1)
uvws7605,33.12,1,3,33.12,High Value,One-time (1)
1tt5xs7p,33.12,1,3,33.12,High Value,One-time (1)
df08087e,33.12,1,3,33.12,High Value,One-time (1)
64drczes,33.12,1,6,33.12,High Value,One-time (1)
ui8vpadx,33.12,1,3,33.12,High Value,One-time (1)
3ilxgirz,33.0,1,5,33.0,High Value,One-time (1)
jykb3x37,33.0,1,2,33.0,High Value,One-time (1)
ad2mlfqz,33.0,1,2,33.0,High Value,One-time (1)
06esngjm,32.82,1,3,32.82,High Value,One-time (1)
oiqpm708,32.82,1,3,32.82,High Value,One-time (1)
zn1f0fp8,32.7,3,15,10.9,High Value,Occasional (2-3)
kk61li4o,32.7,1,6,32.7,High Value,One-time (1)
ryozdppb,32.64,3,10,10.88,High Value,Occasional (2-3)
vy32i3pj,32.4,1,2,32.4,High Value,One-time (1)
vdy7ro92,32.4,1,2,32.4,High Value,One-time (1)
bnn3phg2,32.4,1,9,32.4,High Value,One-time (1)
vhzbyq9h,32.4,1,2,32.4,High Value,One-time (1)
gow2vjyp,32.4,1,2,32.4,High Value,One-time (1)
e7q9n3n6,32.4,1,2,32.4,High Value,One-time (1)
xn3n21kx,32.4,1,2,32.4,High Value,One-time (1)
i55rspxj,32.4,1,2,32.4,High Value,One-time (1)
l41hly49,32.29,1,6,32.29,High Value,One-time (1)
f397gh1g,32.27,1,7,32.27,High Value,One-time (1)
aaxa3bl1,32.23,2,8,16.115,High Value,Occasional (2-3)
lw9yzfpr,32.1,1,6,32.1,High Value,One-time (1)
yghar6et,32.1,1,6,32.1,High Value,One-time (1)
sa6zowec,32.04,1,9,32.04,High Value,One-time (1)
izjdilxp,32.0,1,2,32.0,High Value,One-time (1)
aj269nem,32.0,1,2,32.0,High Value,One-time (1)
jv7f77ac,32.0,1,2,32.0,High Value,One-time (1)
j0adchwx,32.0,1,2,32.0,High Value,One-time (1)
kadokbax,32.0,1,2,32.0,High Value,One-time (1)
o4vp6aqg,31.98,1,6,31.98,High Value,One-time (1)
plwu3ex5,31.95,1,9,31.95,High Value,One-time (1)
n2d7ki3x,31.93,2,7,15.965,High Value,Occasional (2-3)
xaypntrf,31.85,1,5,31.85,High Value,One-time (1)
4mi05kuy,31.85,1,5,31.85,High Value,One-time (1)
nv165kx9,31.74,1,6,31.74,High Value,One-time (1)
a0l7253j,31.7,2,5,15.85,High Value,Occasional (2-3)
vkl46cej,31.5,1,5,31.5,High Value,One-time (1)
vbgr8w2m,31.5,1,5,31.5,High Value,One-time (1)
55xe7lv2,31.5,1,5,31.5,High Value,One-time (1)
3uopway9,31.5,1,5,31.5,High Value,One-time (1)
9n75vhf4,31.44,1,6,31.44,High Value,One-time (1)
5xya06dz,31.42,1,2,31.42,High Value,One-time (1)
dl0biqkz,31.38,1,6,31.38,High Value,One-time (1)
w42nfcu5,31.32,1,6,31.32,High Value,One-time (1)
q52wspof,31.3,2,6,15.65,High Value,Occasional (2-3)
6k8djzr5,31.2,1,6,31.2,High Value,One-time (1)
kifgzvjv,31.14,1,9,31.14,High Value,One-time (1)
85m43270,31.05,1,6,31.05,High Value,One-time (1)
c6s6lw2y,31.05,1,6,31.05,High Value,One-time (1)
rdqth8ec,31.05,1,2,31.05,High Value,One-time (1)
sruowvg5,30.88,1,4,30.88,High Value,One-time (1)
bsh76rbh,30.85,1,5,30.85,High Value,One-time (1)
63o0wcqv,30.85,1,5,30.85,High Value,One-time (1)
jd2v1l1v,30.83,2,9,15.415,High Value,Occasional (2-3)
q19jz0z7,30.78,1,9,30.78,High Value,One-time (1)
c03rvnrx,30.6,1,6,30.6,High Value,One-time (1)
s9dmlfx7,30.6,1,3,30.6,High Value,One-time (1)
eyrmbmpt,30.6,1,3,30.6,High Value,One-time (1)
vum5umst,30.56,1,8,30.56,High Value,One-time (1)
86tc5lol,30.55,1,5,30.55,High Value,One-time (1)
bmc97c7b,30.55,1,5,30.55,High Value,One-time (1)
5w1d8zaf,30.5,1,6,30.5,High Value,One-time (1)
rhocn9j2,30.45,2,2,15.225,High Value,Occasional (2-3)
z3bg52ib,30.41,2,8,15.205,High Value,Occasional (2-3)
0thl2c53,30.36,2,6,15.18,High Value,Occasional (2-3)
m2hnpur3,30.36,1,6,30.36,High Value,One-time (1)
skzo3i9l,30.34,3,8,10.113333333333333,High Value,Occasional (2-3)
37ktll8s,30.330000000000002,2,3,15.165000000000001,High Value,Occasional (2-3)
ucl5uwjd,30.33,1,5,30.33,High Value,One-time (1)
486d43i2,30.259999999999998,4,7,7.5649999999999995,High Value,Frequent (4-7)
aqhqmycg,30.21,1,9,30.21,High Value,One-time (1)
mip863jh,30.08,1,8,30.08,High Value,One-time (1)
yijbg36t,30.0,1,2,30.0,High Value,One-time (1)
qr5ct3g5,30.0,1,5,30.0,High Value,One-time (1)
22szgih4,30.0,1,2,30.0,High Value,One-time (1)
wct8jbbs,30.0,1,2,30.0,High Value,One-time (1)
1w7uwquy,29.9,1,5,29.9,High Value,One-time (1)
nk98xflg,29.7,1,5,29.7,High Value,One-time (1)
98ie4ty2,29.7,1,5,29.7,High Value,One-time (1)
13fhrn8y,29.67,1,3,29.67,High Value,One-time (1)
uiish7x4,29.65,1,5,29.65,High Value,One-time (1)
tfblamzr,29.54,1,3,29.54,High Value,One-time (1)
242prq3f,29.52,1,3,29.52,High Value,One-time (1)
5k1wzq0s,29.46,1,6,29.46,High Value,One-time (1)
6ph4zv1b,29.46,1,6,29.46,High Value,One-time (1)
q2gv5il7,29.4,1,2,29.4,High Value,One-time (1)
c28wscci,29.4,1,2,29.4,High Value,One-time (1)
qh7ppcad,29.4,1,2,29.4,High Value,One-time (1)
7be1ohbu,29.4,1,4,29.4,High Value,One-time (1)
g41xiokq,29.4,1,2,29.4,High Value,One-time (1)
kzzp40ul,29.4,1,4,29.4,High Value,One-time (1)
r1kbo8s9,29.4,1,6,29.4,High Value,One-time (1)
p0rk9yly,29.35,1,5,29.35,High Value,One-time (1)
0m4azg1t,29.34,1,6,29.34,High Value,One-time (1)
3wq371fd,29.34,1,6,29.34,High Value,One-time (1)
5u41s67o,29.34,1,6,29.34,High Value,One-time (1)
d6fe36t6,29.2,1,8,29.2,High Value,One-time (1)
pwiat8nd,29.16,1,6,29.16,High Value,One-time (1)
z6jqxja3,29.1,1,2,29.1,High Value,One-time (1)
1qbriugn,29.1,1,2,29.1,High Value,One-time (1)
88mruhl4,29.1,1,2,29.1,High Value,One-time (1)
uaz71uf0,29.049999999999997,4,9,7.262499999999999,High Value,Frequent (4-7)
6df08upn,29.04,2,8,14.52,High Value,Occasional (2-3)
iuz5olce,29.0,1,5,29.0,High Value,One-time (1)
aqdmfztg,28.98,2,8,14.49,High Value,Occasional (2-3)
xujdt4kb,28.98,1,6,28.98,High Value,One-time (1)
xkogs3g3,28.92,1,6,28.92,High Value,One-time (1)
0r3qhvuz,28.92,1,6,28.92,High Value,One-time (1)
dkv58qm2,28.8,1,2,28.8,High Value,One-time (1)
8g4gy54b,28.8,1,5,28.8,High Value,One-time (1)
lobnknsl,28.75,1,5,28.75,High Value,One-time (1)
p1o8m291,28.68,2,6,14.34,High Value,Occasional (2-3)
7yxft7su,28.68,1,6,28.68,High Value,One-time (1)
led1lg8y,28.619999999999997,3,8,9.54,High Value,Occasional (2-3)
exl2qqlw,28.6,1,4,28.6,High Value,One-time (1)
4abz82or,28.6,1,5,28.6,High Value,One-time (1)
tarjxikr,28.6,1,4,28.6,High Value,One-time (1)
228g0209,28.52,1,2,28.52,High Value,One-time (1)
m5lj18pg,28.52,1,2,28.52,High Value,One-time (1)
7160irqb,28.52,1,2,28.52,High Value,One-time (1)
dgc8uvqk,28.5,1,6,28.5,High Value,One-time (1)
mltka726,28.5,1,2,28.5,High Value,One-time (1)
vvcinty7,28.5,1,2,28.5,High Value,One-time (1)
1f8rdb6n,28.5,1,2,28.5,High Value,One-time (1)
86gswlaf,28.5,1,2,28.5,High Value,One-time (1)
55j2o7s3,28.5,1,2,28.5,High Value,One-time (1)
vlkvtybh,28.49,1,7,28.49,High Value,One-time (1)
t9zlo8h6,28.48,1,4,28.48,High Value,One-time (1)
3qmyor47,28.48,1,4,28.48,High Value,One-time (1)
gk6t9dhs,28.42,3,6,9.473333333333334,High Value,Occasional (2-3)
nv4f0te2,28.38,2,6,14.19,High Value,Occasional (2-3)
kreg167d,28.369999999999997,3,5,9.456666666666665,High Value,Occasional (2-3)
wdz4rg3b,28.35,1,7,28.35,High Value,One-time (1)
dwxx3uj3,28.35,1,7,28.35,High Value,One-time (1)
39p705xi,28.26,1,6,28.26,High Value,One-time (1)
htfzb49a,28.2,1,2,28.2,High Value,One-time (1)
mgqnux7y,28.2,1,2,28.2,High Value,One-time (1)
hznfw4z7,28.2,1,6,28.2,High Value,One-time (1)
sv9hmg4u,28.2,1,2,28.2,High Value,One-time (1)
9du5klge,28.2,1,6,28.2,High Value,One-time (1)
opy89aeg,28.2,1,2,28.2,High Value,One-time (1)
pbc6gceu,28.2,1,2,28.2,High Value,One-time (1)
2g9ngesl,28.2,1,2,28.2,High Value,One-time (1)
kxaqzxub,28.2,1,2,28.2,High Value,One-time (1)
7c8mdrxb,28.2,1,2,28.2,High Value,One-time (1)
tk3hrly4,28.2,1,6,28.2,High Value,One-time (1)
7zkbh783,28.2,1,2,28.2,High Value,One-time (1)
wwjbl5mm,28.15,1,5,28.15,High Value,One-time (1)
t4hvc336,28.08,1,4,28.08,High Value,One-time (1)
l5e41mho,28.08,1,4,28.08,High Value,One-time (1)
h8on3nqq,28.02,1,6,28.02,High Value,One-time (1)
fsue55ox,27.81,1,9,27.81,High Value,One-time (1)
v0dszrk6,27.799999999999997,3,8,9.266666666666666,High Value,Occasional (2-3)
x3pd3x3y,27.76,1,4,27.76,High Value,One-time (1)
objlzy1u,27.75,1,5,27.75,High Value,One-time (1)
95n9gzw4,27.72,1,4,27.72,High Value,One-time (1)
y5hat1nq,27.64,1,2,27.64,High Value,One-time (1)
jv81d3e8,27.64,1,2,27.64,High Value,One-time (1)
vn9625ae,27.6,1,5,27.6,High Value,One-time (1)
c5au9qzh,27.6,1,4,27.6,High Value,One-time (1)
kce02xmt,27.6,1,2,27.6,High Value,One-time (1)
3sva88xl,27.6,1,5,27.6,High Value,One-time (1)
9nm0lqsr,27.6,1,5,27.6,High Value,One-time (1)
eo60dup1,27.6,1,2,27.6,High Value,One-time (1)
0kwva602,27.6,1,2,27.6,High Value,One-time (1)
p4pcrgoc,27.6,1,5,27.6,High Value,One-time (1)
acd0n0m5,27.6,1,4,27.6,High Value,One-time (1)
6et3pymh,27.6,1,2,27.6,High Value,One-time (1)
vf2ndhj0,27.6,1,2,27.6,High Value,One-time (1)
0zu63cym,27.6,1,2,27.6,High Value,One-time (1)
zyatsl1u,27.6,1,2,27.6,High Value,One-time (1)
bgeb66gv,27.6,1,2,27.6,High Value,One-time (1)
l5u7nted,27.56,2,3,13.78,High Value,Occasional (2-3)
87p24diu,27.54,1,3,27.54,High Value,One-time (1)
d90a0tt4,27.52,1,4,27.52,High Value,One-time (1)
ke09fx4l,27.52,1,4,27.52,High Value,One-time (1)
6251mo6w,27.5,1,5,27.5,High Value,One-time (1)
sv9amle1,27.5,1,5,27.5,High Value,One-time (1)
dbiupghl,27.44,1,7,27.44,High Value,One-time (1)
uwyqsgb3,27.36,1,8,27.36,High Value,One-time (1)
mgcjdgfa,27.32,1,4,27.32,High Value,One-time (1)
r7scbtw7,27.24,1,4,27.24,High Value,One-time (1)
7yo2onal,27.18,1,6,27.18,High Value,One-time (1)
d9er94te,27.099999999999998,2,5,13.549999999999999,High Value,Occasional (2-3)
b68qj1b8,27.06,1,6,27.06,High Value,One-time (1)
4c8j6e07,27.0,5,8,5.4,High Value,Frequent (4-7)
mwfekre3,27.0,1,2,27.0,High Value,One-time (1)
dsd894xq,26.96,1,4,26.96,High Value,One-time (1)
k0jl81lm,26.91,1,5,26.91,High Value,One-time (1)
zl6z36ry,26.88,1,4,26.88,High Value,One-time (1)
j6c119kc,26.81,1,9,26.81,High Value,One-time (1)
gzotntr7,26.78,1,2,26.78,High Value,One-time (1)
pj2sjy4r,26.75,1,5,26.75,High Value,One-time (1)
j95lyio6,26.71,1,2,26.71,High Value,One-time (1)
k95kp7v3,26.7,1,5,26.7,High Value,One-time (1)
csus443t,26.7,1,3,26.7,High Value,One-time (1)
nkk1jxpp,26.65,1,5,26.65,High Value,One-time (1)
jdan085r,26.630000000000003,2,9,13.315000000000001,High Value,Occasional (2-3)
figj8665,26.55,1,9,26.55,High Value,One-time (1)
18cwfjk2,26.48,1,8,26.48,High Value,One-time (1)
tx5ht5sb,26.46,1,2,26.46,High Value,One-time (1)
ozja1nu7,26.45,1,5,26.45,High Value,One-time (1)
9z6e1ufo,26.45,1,5,26.45,High Value,One-time (1)
i7deqd7r,26.44,1,4,26.44,High Value,One-time (1)
kagwntki,26.4,1,2,26.4,High Value,One-time (1)
xzq1cmir,26.22,1,6,26.22,High Value,One-time (1)
nn09d2oh,26.22,1,6,26.22,High Value,One-time (1)
88u595ce,26.19,1,2,26.19,High Value,One-time (1)
vebocm6s,26.11,1,7,26.11,High Value,One-time (1)
rtll9dyb,26.1,1,5,26.1,High Value,One-time (1)
97pwdbol,26.1,1,9,26.1,High Value,One-time (1)
6khq61cd,25.92,1,2,25.92,High Value,One-time (1)
42t79019,25.92,1,2,25.92,High Value,One-time (1)
xsufaexx,25.92,1,4,25.92,High Value,One-time (1)
k6m9w4pa,25.92,1,2,25.92,High Value,One-time (1)
0wf6ogwa,25.92,1,2,25.92,High Value,One-time (1)
qr160041,25.92,1,2,25.92,High Value,One-time (1)
rb4fkvwq,25.92,1,2,25.92,High Value,One-time (1)
545gclek,25.92,1,2,25.92,High Value,One-time (1)
m3iv6v9f,25.68,1,6,25.68,High Value,One-time (1)
v16xeghp,25.66,2,4,12.83,High Value,Occasional (2-3)
bvxketug,25.64,2,6,12.82,High Value,Occasional (2-3)
zo1ssihw,25.62,1,6,25.62,High Value,One-time (1)
s0dtfq20,25.6,1,2,25.6,High Value,One-time (1)
9br6gs2a,25.6,1,2,25.6,High Value,One-time (1)
fvxzn5mc,25.6,1,4,25.6,High Value,One-time (1)
54pfnpwa,25.6,1,2,25.6,High Value,One-time (1)
4qxxva2i,25.57,4,9,6.3925,High Value,Frequent (4-7)
t49bx8ut,25.56,1,9,25.56,High Value,One-time (1)
c7dryhl4,25.56,1,6,25.56,High Value,One-time (1)
0wiqflfd,25.55,1,7,25.55,High Value,One-time (1)
z52ohkbm,25.53,2,2,12.765,High Value,Occasional (2-3)
diyt7qti,25.5,1,2,25.5,High Value,One-time (1)
ik49eagc,25.5,1,5,25.5,High Value,One-time (1)
sl5wqu22,25.5,1,2,25.5,High Value,One-time (1)
yit18gqj,25.5,1,5,25.5,High Value,One-time (1)
3g6osxbv,25.5,1,2,25.5,High Value,One-time (1)
eiafc9kn,25.5,1,2,25.5,High Value,One-time (1)
q2cu9p9v,25.5,1,2,25.5,High Value,One-time (1)
iqusy2o3,25.47,2,5,12.735,High Value,Occasional (2-3)
rds2tnfx,25.46,1,5,25.46,High Value,One-time (1)
n8z4c0x2,25.46,3,8,8.486666666666666,High Value,Occasional (2-3)
0wfft8ne,25.44,1,8,25.44,High Value,One-time (1)
ybovakhe,25.4,2,8,12.7,High Value,Occasional (2-3)
ase7gudv,25.32,1,4,25.32,High Value,One-time (1)
v59hotgd,25.32,2,6,12.66,High Value,Occasional (2-3)
yf1bjve8,25.3,1,5,25.3,High Value,One-time (1)
gyy2787w,25.3,1,5,25.3,High Value,One-time (1)
hr07n8vo,25.259999999999998,2,9,12.629999999999999,High Value,Occasional (2-3)
kov1l28r,25.24,2,6,12.62,High Value,Occasional (2-3)
l7r5ii1q,25.22,1,6,25.22,High Value,One-time (1)
pvye6s6g,25.2,1,5,25.2,High Value,One-time (1)
v1xbxlk5,25.2,1,5,25.2,High Value,One-time (1)
w5i5virh,25.16,1,4,25.16,High Value,One-time (1)
blc98e2l,25.14,1,2,25.14,High Value,One-time (1)
8q23qdyd,25.14,1,2,25.14,High Value,One-time (1)
5sgf71fi,25.0,1,5,25.0,High Value,One-time (1)
e5c3gcs0,25.0,1,5,25.0,High Value,One-time (1)
589dlbnp,25.0,1,5,25.0,High Value,One-time (1)
oy5q8p2n,24.95,1,5,24.95,High Value,One-time (1)
9zqhbqiq,24.85,2,5,12.425,High Value,Occasional (2-3)
72mnsle7,24.85,1,5,24.85,High Value,One-time (1)
9wbrqgxn,24.84,1,9,24.84,High Value,One-time (1)
e7m7h6oq,24.84,1,2,24.84,High Value,One-time (1)
